"State","Official Source","Primary Link","Access Needed","What Needs To Be Accessed","User Action","Contact or Request Link","Email Text","Integration Readiness","Notes","Verified Date"
"Nebraska","Nebraska 511","https://www.511.nebraska.gov/","Agency permission / technical feed details","Statewide camera inventory with coordinates and current image/stream URLs","Contact Nebraska DOT for approved automated camera access","https://dot.nebraska.gov/contact-us/","Subject: Nebraska traffic-camera data access request | Hello, I’m requesting permission and technical access to current Nebraska DOT traffic-camera metadata and snapshot or stream URLs for The Rainbow Connector (https://therainbowconnector.com), a small free public educational weather-research project. The system would make low-volume, event-triggered requests only when weather data indicates a possible rainbow near a camera. It would not continuously record cameras or retain negative imagery; only reviewer-confirmed rainbow frames might be preserved for an attributed educational gallery. Please provide the approved feed/API, access process, rate limits, attribution requirements, and any agreement needed for this use. Thank you, Jeff Masher, jeffmasher@gmail.com","Contact required","Public map exists; no documented public developer camera API was confirmed.","2026-07-28"
"Nevada","Nevada 511 Developer API","https://www.nvroads.com/developers/doc","Free self-service developer account and API key","Cameras endpoint returning coordinates and current image/stream URLs","Register in Nevada 511 and enable Developer API access","https://www.nvroads.com/my511/register","","Self-service","Travel-IQ developer interface; verify rate limits after key issuance.","2026-07-28"
"New Hampshire","New England 511","https://newengland511.org/","Agency/vendor permission and current developer documentation","New Hampshire camera endpoint with coordinates and current image/stream URLs","Contact New England 511 because the developer page is currently unavailable","https://newengland511.org/","Subject: New Hampshire traffic-camera data access request | Hello, I’m requesting permission and technical access to current New Hampshire DOT traffic-camera metadata and snapshot or stream URLs for The Rainbow Connector (https://therainbowconnector.com), a small free public educational weather-research project. The system would make low-volume, event-triggered requests only when weather data indicates a possible rainbow near a camera. It would not continuously record cameras or retain negative imagery; only reviewer-confirmed rainbow frames might be preserved for an attributed educational gallery. Please provide the approved feed/API, access process, rate limits, attribution requirements, and any agreement needed for this use. Thank you, Jeff Masher, jeffmasher@gmail.com","Contact required","Regional system also covers Maine and Vermont; a camera API appears to exist but onboarding is broken.","2026-07-28"
"New Jersey","511NJ","https://www.511nj.org/","Agency permission / official reuse terms","Camera inventory, coordinates, and stable refreshed image URLs","Contact NJDOT/511NJ for approved automated access and attribution rules","https://www.nj.gov/transportation/about/contact/","Subject: New Jersey traffic-camera data access request | Hello, I’m requesting permission and technical access to current New Jersey DOT traffic-camera metadata and snapshot or stream URLs for The Rainbow Connector (https://therainbowconnector.com), a small free public educational weather-research project. The system would make low-volume, event-triggered requests only when weather data indicates a possible rainbow near a camera. It would not continuously record cameras or retain negative imagery; only reviewer-confirmed rainbow frames might be preserved for an attributed educational gallery. Please provide the approved feed/API, access process, rate limits, attribution requirements, and any agreement needed for this use. Thank you, Jeff Masher, jeffmasher@gmail.com","Contact required","Public refreshed camera images exist; no documented developer feed or reuse terms were confirmed.","2026-07-28"
"New Mexico","NMRoads","https://nmroads.com/","Agency permission / technical feed details","Statewide camera inventory with coordinates and current image/stream URLs","Contact NMDOT for approved automated camera access","https://www.dot.nm.gov/contact-us/","Subject: New Mexico traffic-camera data access request | Hello, I’m requesting permission and technical access to current New Mexico DOT traffic-camera metadata and snapshot or stream URLs for The Rainbow Connector (https://therainbowconnector.com), a small free public educational weather-research project. The system would make low-volume, event-triggered requests only when weather data indicates a possible rainbow near a camera. It would not continuously record cameras or retain negative imagery; only reviewer-confirmed rainbow frames might be preserved for an attributed educational gallery. Please provide the approved feed/API, access process, rate limits, attribution requirements, and any agreement needed for this use. Thank you, Jeff Masher, jeffmasher@gmail.com","Contact required","Public map exists; no documented public developer camera API was confirmed.","2026-07-28"
"New York","511NY Developer API","https://511ny.org/developers/resources","Free account plus API access application/approval","Cameras endpoint returning coordinates and current image/stream URLs","Register, sign in, and submit the Developer API request","https://511ny.org/my511/account?apisignup=true","","Application required","Official developer resources and an API signup workflow are available.","2026-07-28"
"North Carolina","DriveNC Developer API","https://www.drivenc.gov/developers/doc","Free self-service developer account and API key","Cameras endpoint returning coordinates and current image/stream URLs","Register in DriveNC and enable Developer API access","https://www.drivenc.gov/my511/register","","Self-service","Travel-IQ developer interface; verify rate limits after key issuance.","2026-07-28"
"North Dakota","North Dakota Roads","https://travel.dot.nd.gov/","Agency permission / technical feed details","Statewide camera inventory with coordinates and current image/stream URLs","Contact NDDOT for approved camera-feed access","https://www.dot.nd.gov/contact-us","Subject: North Dakota traffic-camera data access request | Hello, I’m requesting permission and technical access to current North Dakota DOT traffic-camera metadata and snapshot or stream URLs for The Rainbow Connector (https://therainbowconnector.com), a small free public educational weather-research project. The system would make low-volume, event-triggered requests only when weather data indicates a possible rainbow near a camera. It would not continuously record cameras or retain negative imagery; only reviewer-confirmed rainbow frames might be preserved for an attributed educational gallery. Please provide the approved feed/API, access process, rate limits, attribution requirements, and any agreement needed for this use. Thank you, Jeff Masher, jeffmasher@gmail.com","Contact required","Public map exists; no documented public developer camera API was confirmed.","2026-07-28"
"Ohio","OHGO Public API","https://publicapi.ohgo.com/","Free self-service public API key","Cameras endpoint with coordinates and snapshots","Register for an OHGO public API key and review rate limits","https://publicapi.ohgo.com/","","Self-service","Official camera API; snapshots are advertised as updating every five seconds.","2026-07-28"
"Oklahoma","Oklahoma Traffic","https://oktraffic.org/","Agency permission / technical feed details","Statewide camera inventory with coordinates and current image/stream URLs","Contact Oklahoma DOT for approved camera-feed access","https://oklahoma.gov/odot/about/contact-us.html","Subject: Oklahoma traffic-camera data access request | Hello, I’m requesting permission and technical access to current Oklahoma DOT traffic-camera metadata and snapshot or stream URLs for The Rainbow Connector (https://therainbowconnector.com), a small free public educational weather-research project. The system would make low-volume, event-triggered requests only when weather data indicates a possible rainbow near a camera. It would not continuously record cameras or retain negative imagery; only reviewer-confirmed rainbow frames might be preserved for an attributed educational gallery. Please provide the approved feed/API, access process, rate limits, attribution requirements, and any agreement needed for this use. Thank you, Jeff Masher, jeffmasher@gmail.com","Contact required","Public map exists; no documented public developer camera API was confirmed.","2026-07-28"
"Oregon","TripCheck API","https://tripcheck.com/Pages/API","Free developer-portal account and subscription key","CCTV inventory with coordinates and current still-image URLs","Create an ODOT developer-portal account and subscribe to the TripCheck API","https://apiportal.odot.state.or.us/","","Self-service","Official API documentation explicitly includes CCTV current still-image URLs.","2026-07-28"
"Pennsylvania","PennDOT / 511PA Data Feeds","https://www.pa.gov/services/penndot/request-access-to-transportation-related-data-feeds","Application, license agreement, and approval","Statewide camera metadata and approved current video/image feed","Submit PennDOT's Data Feed Request Form and accept attribution/video-sharing conditions","https://paiedprod.powerappsportals.us/DataFeedRequestForm/","","Application required","PennDOT reports more than 950 cameras; approval and a formal agreement are required.","2026-07-28"
"Rhode Island","RIDOT Traffic Cameras","https://www.dot.ri.gov/travel/cameras.php","Agency permission / technical feed details","Camera inventory with coordinates and current image/stream URLs","Contact RIDOT for approved automated camera access and reuse terms","https://www.dot.ri.gov/about/help.php","Subject: Rhode Island traffic-camera data access request | Hello, I’m requesting permission and technical access to current Rhode Island DOT traffic-camera metadata and snapshot or stream URLs for The Rainbow Connector (https://therainbowconnector.com), a small free public educational weather-research project. The system would make low-volume, event-triggered requests only when weather data indicates a possible rainbow near a camera. It would not continuously record cameras or retain negative imagery; only reviewer-confirmed rainbow frames might be preserved for an attributed educational gallery. Please provide the approved feed/API, access process, rate limits, attribution requirements, and any agreement needed for this use. Thank you, Jeff Masher, jeffmasher@gmail.com","Contact required","Official public camera page exists; no documented developer feed was confirmed.","2026-07-28"
"South Carolina","511SC","https://www.511sc.org/","Agency permission / official reuse terms","Statewide camera inventory with coordinates and current image/stream URLs","Contact SCDOT/511SC for approved automated access","https://www.scdot.org/connect/contact.html","Subject: South Carolina traffic-camera data access request | Hello, I’m requesting permission and technical access to current South Carolina DOT traffic-camera metadata and snapshot or stream URLs for The Rainbow Connector (https://therainbowconnector.com), a small free public educational weather-research project. The system would make low-volume, event-triggered requests only when weather data indicates a possible rainbow near a camera. It would not continuously record cameras or retain negative imagery; only reviewer-confirmed rainbow frames might be preserved for an attributed educational gallery. Please provide the approved feed/API, access process, rate limits, attribution requirements, and any agreement needed for this use. Thank you, Jeff Masher, jeffmasher@gmail.com","Contact required","Public camera map exists; no documented developer camera API was confirmed.","2026-07-28"
"South Dakota","SD511","https://sd511.org/","Agency permission / technical feed details","Statewide camera inventory with coordinates and current image/stream URLs","Contact South Dakota DOT for approved camera-feed access","https://dot.sd.gov/contact","Subject: South Dakota traffic-camera data access request | Hello, I’m requesting permission and technical access to current South Dakota DOT traffic-camera metadata and snapshot or stream URLs for The Rainbow Connector (https://therainbowconnector.com), a small free public educational weather-research project. The system would make low-volume, event-triggered requests only when weather data indicates a possible rainbow near a camera. It would not continuously record cameras or retain negative imagery; only reviewer-confirmed rainbow frames might be preserved for an attributed educational gallery. Please provide the approved feed/API, access process, rate limits, attribution requirements, and any agreement needed for this use. Thank you, Jeff Masher, jeffmasher@gmail.com","Contact required","Public map exists; no documented public developer camera API was confirmed.","2026-07-28"
"Tennessee","TDOT SmartWay","https://smartway.tn.gov/traffic","Agency permission / technical feed details","Statewide camera inventory with coordinates and current image/stream URLs","Contact TDOT SmartWay for approved automated camera access","https://www.tn.gov/tdot/contact-us.html","Subject: Tennessee traffic-camera data access request | Hello, I’m requesting permission and technical access to current Tennessee DOT traffic-camera metadata and snapshot or stream URLs for The Rainbow Connector (https://therainbowconnector.com), a small free public educational weather-research project. The system would make low-volume, event-triggered requests only when weather data indicates a possible rainbow near a camera. It would not continuously record cameras or retain negative imagery; only reviewer-confirmed rainbow frames might be preserved for an attributed educational gallery. Please provide the approved feed/API, access process, rate limits, attribution requirements, and any agreement needed for this use. Thank you, Jeff Masher, jeffmasher@gmail.com","Contact required","Public camera map exists; no documented public developer camera API was confirmed.","2026-07-28"
"Texas","TxDOT ITS District Cameras","https://its.txdot.gov/its/DistrictITS","Agency or regional TMC permission","District camera inventories with coordinates and current snapshots/streams","Contact TxDOT or individual district TMCs; do not use the DriveTexas API as a camera source","https://www.txdot.gov/about/contact-us.html","Subject: TxDOT traffic-camera data access request | Hello, I’m requesting permission and technical access to current TxDOT district traffic-camera metadata and snapshot or stream URLs for The Rainbow Connector (https://therainbowconnector.com), a small free public educational weather-research project. The system would make low-volume, event-triggered requests only when weather data indicates a possible rainbow near a camera. It would not continuously record cameras or retain negative imagery; only reviewer-confirmed rainbow frames might be preserved for an attributed educational gallery. The DriveTexas API documentation says live camera feeds are not included, so please direct me to the approved district/TMC camera feed, access process, rate limits, attribution requirements, and any agreement needed. Thank you, Jeff Masher, jeffmasher@gmail.com","Contact required","DriveTexas API explicitly excludes live camera feeds, so district/TMC access is the relevant path.","2026-07-28"
"Utah","UDOT Traffic Developer API","https://www.udottraffic.utah.gov/developers/doc","Free self-service developer account and API key","Cameras endpoint returning coordinates and current image/stream URLs","Register in UDOT Traffic and enable Developer API access","https://www.udottraffic.utah.gov/my511/register","","Self-service","Travel-IQ developer interface; verify rate limits after key issuance.","2026-07-28"
"Vermont","New England 511","https://newengland511.org/","Agency/vendor permission and current developer documentation","Vermont camera endpoint with coordinates and current image/stream URLs","Contact New England 511 because the developer page is currently unavailable","https://newengland511.org/","Subject: Vermont traffic-camera data access request | Hello, I’m requesting permission and technical access to current Vermont DOT traffic-camera metadata and snapshot or stream URLs for The Rainbow Connector (https://therainbowconnector.com), a small free public educational weather-research project. The system would make low-volume, event-triggered requests only when weather data indicates a possible rainbow near a camera. It would not continuously record cameras or retain negative imagery; only reviewer-confirmed rainbow frames might be preserved for an attributed educational gallery. Please provide the approved feed/API, access process, rate limits, attribution requirements, and any agreement needed for this use. Thank you, Jeff Masher, jeffmasher@gmail.com","Contact required","Regional system also covers Maine and New Hampshire; a camera API appears to exist but onboarding is broken.","2026-07-28"
